product_name,category_shelf,match_key
KALMS SLEEP NIGHT ONE A NIGHT 14,Other / uncategorised,kalms sleep night one a night 14
KAMACLOX MOUTHWASH (CHLORHEXIDINE) 300ML,OTC,kamaclox mouthwash (chlorhexidine) 300ml
KAMAGRA 100MG ORAL JELLY,OTC,kamagra 100mg oral jelly
KAMAGRA 50MG ORAL JELLY,OTC,kamagra 50mg oral jelly
KAMAGRA 50MG TABS,Other / uncategorised,kamagra 50mg tabs
KAMAGRA TAB 100MG,Other / uncategorised,kamagra tab 100mg
KEFROX 500MG TAB,OTC,kefrox 500mg tab
KEFROX(CEFUROXIME SUSP) 125MG/5ML,Prescription medicine,kefrox(cefuroxime susp) 125mg/5ml
KENACORT SKIN CREAM (TRIAMCINOLONE 0.1%) 15G,Pharmacy medicine,kenacort skin cream (triamcinolone 0.1%) 15g
KENALOG (TRIAMCINOLONE ACETONIDE) CREAM 10G,Pharmacy medicine,kenalog (triamcinolone acetonide) cream 10g
KENALOG INJ 5'S,Prescription medicine,kenalog inj 5's
KENDAMIL 1 (800G),Baby & infant,kendamil 1 (800g)
KENDAMIL 2 800G,Other / uncategorised,kendamil 2 800g
KEPPRA 1000MG TAB 50',Prescription medicine,keppra 1000mg tab 50'
KEPPRA 250MG TAB 60'S,Prescription medicine,keppra 250mg tab 60's
KEPPRA 500MG TAB 50'S,Prescription medicine,keppra 500mg tab 50's
KEPPRA SYR 100MG/ML (LEVETIRACETAM) 300ML,Prescription medicine,keppra syr 100mg/ml (levetiracetam) 300ml
KEPTRILS LOZ,OTC,keptrils loz
KETACONAZOLE 2% SHAMPOO 120ML,Other / uncategorised,ketaconazole 2% shampoo 120ml
KETAZOL CREAM 30G,OTC,ketazol cream 30g
KETAZOL SHAMPOO 2% 100ML,OTC,ketazol shampoo 2% 100ml
KETESSE INJ 50MG/2ML,Other / uncategorised,ketesse inj 50mg/2ml
KIDICARE SYR 200ML MEYER,OTC,kidicare syr 200ml meyer
KIDIVITE MULTIVITAMIN TONIC 200ML ECL,Other / uncategorised,kidivite multivitamin tonic 200ml ecl
KIRKLAND FAST ACTING LACTASE 180'S,OTC,kirkland fast acting lactase 180's
KIRKLAND IBUPROFEN 200MG 500'S,OTC,kirkland ibuprofen 200mg 500's
KIRKLAND RAPID RELEASE ACETAMINOPHEN CAPS 400'S,OTC,kirkland rapid release acetaminophen caps 400's
KISS CONDOM PACK 3'S,OTC,kiss condom pack 3's
KISS LUBRICANT 50ML,Other / uncategorised,kiss lubricant 50ml
KLARO EYE DROP,Pharmacy medicine,klaro eye drop
KLOVINAL VAGINAL PESSARIES 6'S,Pharmacy medicine,klovinal vaginal pessaries 6's
KOFFEX ADULT COUGH SYRUP (EXPECTORANT) 125ML,OTC,koffex adult cough syrup (expectorant) 125ml
KOFFEX JUNIOR COUGH SYRUP,OTC,koffex junior cough syrup
KOFLET COUGH SYRUP 100ML,Herbal,koflet cough syrup 100ml
KOFLET EXPECORANT SUGAR FREE SYRUP 100ML,Other / uncategorised,koflet expecorant sugar free syrup 100ml
KOFLET H LOZ,OTC,koflet h loz
KOMBIGLYZE ( 5/1000)MG TABS 30'S,Pharmacy medicine,kombiglyze ( 5/1000)mg tabs 30's
KOMBIGLYZE XR ( 2.5/1000)MG TABS 60'S,Pharmacy medicine,kombiglyze xr ( 2.5/1000)mg tabs 60's
KOTEX MAXI NIGHT TIME 10'S,Other / uncategorised,kotex maxi night time 10's
KOTEX MAXI NORMAL 18’,OTC,kotex maxi normal 18’
KOTEX MAXI SUPER PADS 16',OTC,kotex maxi super pads 16'
KOTEX PANTY LINERS NORMAL 35',OTC,kotex panty liners normal 35'
"KWIK ACTION TABS 50'S (PARA 500MG, EPHEDRINE 10MG, CAFFEINE 30MG)",Pharmacy medicine,"kwik action tabs 50's (para 500mg, ephedrine 10mg, caffeine 30mg)"
KY JELLY 50G,Other / uncategorised,ky jelly 50g
KY JELLY GEL 82G,OTC,ky jelly gel 82g
LABETALOL 200MG TAB 30'S,Other / uncategorised,labetalol 200mg tab 30's
LABETALOL TAB 100MG 56'S,Prescription medicine,labetalol tab 100mg 56's
LACTACYD,Pharmacy medicine,lactacyd
LACTULOSE 300ML UK,OTC,lactulose 300ml uk
LACTULOSE SOLN 500ML (SANDOZ),OTC,lactulose soln 500ml (sandoz)
LACTULOSE SOLUTION 300ML (SANDOZ),Other / uncategorised,lactulose solution 300ml (sandoz)
LAMISIL CREAM 15G,Pharmacy medicine,lamisil cream 15g
LAMISIL TABS 250MG 14'S,OTC,lamisil tabs 250mg 14's
LANSOPRAZOLE 15MG TEVA,OTC,lansoprazole 15mg teva
LANSOPRAZOLE 30MG TEVA,Pharmacy medicine,lansoprazole 30mg teva
LANTUS SOLOSTAR 100IU/ML,Prescription medicine,lantus solostar 100iu/ml
LARIAM MEFLOQUINE TABS 250MG 8'S ROCHE,OTC,lariam mefloquine tabs 250mg 8's roche
LASER 2 LADY TWIN BLADE RAZORS,OTC,laser 2 lady twin blade razors
LASER II RAZOR MEN TWIN 10PK,Other / uncategorised,laser ii razor men twin 10pk
LATANOPROST 0.005% W/V EYE DROPS VEGA,Prescription medicine,latanoprost 0.005% w/v eye drops vega
LAVINAC DICLOFENAC GEL 30G,Pharmacy medicine,lavinac diclofenac gel 30g
LAWSON DELAYMAN CAPS,OTC,lawson delayman caps
LEENA CAPS,Other / uncategorised,leena caps
LEENA SYR 200ML,Other / uncategorised,leena syr 200ml
LEMSIP COLD & FLU LEMON MAX STREGTH SACHET 8'S,Other / uncategorised,lemsip cold & flu lemon max stregth sachet 8's
LEMSIP COLD & FLU SACHET 10'S,Pharmacy medicine,lemsip cold & flu sachet 10's
LEMSIP COLD & FLU SACHET 5' BREATH EASY,OTC,lemsip cold & flu sachet 5' breath easy
LEMSIP COLD & FLU SACHET LEMON 10'S,OTC,lemsip cold & flu sachet lemon 10's
LEMSIP MAX ALL IN ONE COLD & FLU 16',Pharmacy medicine,lemsip max all in one cold & flu 16'
LEMSIP MAX COLD & FLU CAPS 16'S,OTC,lemsip max cold & flu caps 16's
LEMSIP MAX COLD & FLU SACHET 5',OTC,lemsip max cold & flu sachet 5'
LEMSIP MAX DAY & NIGHT 16'S,Other / uncategorised,lemsip max day & night 16's
LEMSIP ORIGINAL COLD & FLU LEMON SACHET 5'S,OTC,lemsip original cold & flu lemon sachet 5's
LENOR CONTRA TAB,OTC,lenor contra tab
LETAVIN 500MG TABS,OTC,letavin 500mg tabs
LETROZOLE 2.5MG TAB UK,OTC,letrozole 2.5mg tab uk
LETROZOLE DENK TAB 2.5MG,OTC,letrozole denk tab 2.5mg
LEVETIRACETAM 1G 60' UK,Prescription medicine,levetiracetam 1g 60' uk
LEVETIRACETAM 250MG 60'S,OTC,levetiracetam 250mg 60's
LEVETIRACETAM 500MG TAB,OTC,levetiracetam 500mg tab
LEVOCET/MONTELUKAST (L-MONTUS) 5/10MG TABS 10'S,Prescription medicine,levocet/montelukast (l-montus) 5/10mg tabs 10's
LEVOCET/MONTELUKAST 2.5MG (L-MONTUS) TABS 10'S,Prescription medicine,levocet/montelukast 2.5mg (l-montus) tabs 10's
LEVOFLOXACIN (LEVO-DENK) 500MG TABS 10'S,Prescription medicine,levofloxacin (levo-denk) 500mg tabs 10's
LEVOFLOXACIN (TAVANIC) 500MG TABS,Prescription medicine,levofloxacin (tavanic) 500mg tabs
LEVOFLOXACIN (XOLFOVEL) 500MG TABS 10'S,Pharmacy medicine,levofloxacin (xolfovel) 500mg tabs 10's
LEVOFLOXACIN 500MG TABS 10'S UK,Prescription medicine,levofloxacin 500mg tabs 10's uk
LEVOFLOXACIN TAB 500MG VEGA,OTC,levofloxacin tab 500mg vega
LEVON 2 LUBRICANT 50ML,Other / uncategorised,levon 2 lubricant 50ml
LEVON 2 TABS 0.75MG 2'S,Pharmacy medicine,levon 2 tabs 0.75mg 2's
LEVOTHYROXINE 100MCG TABS 28'S,Prescription medicine,levothyroxine 100mcg tabs 28's
LEVOTHYROXINE 25MCG,Prescription medicine,levothyroxine 25mcg
LEVOTHYROXINE 50MCG TAB 28'S,Other / uncategorised,levothyroxine 50mcg tab 28's
"LEXOFEN PLUS (PARA,IBUPROFEN) 500/400MG CAPS 20'S",OTC,"lexofen plus (para,ibuprofen) 500/400mg caps 20's"
LEXOFEN SYR 100ML,OTC,lexofen syr 100ml
LEXOTANIL TAB 1.5MG 30'S,Prescription medicine,lexotanil tab 1.5mg 30's
LEXSPORIN POWDER 20G LUEX,Pharmacy medicine,lexsporin powder 20g luex
LEXSPORIN SKIN OINTMENT 20GM LUEX,Pharmacy medicine,lexsporin skin ointment 20gm luex
LIBIDO LADY DENK,OTC,libido lady denk
LIDOCAINE HYDROCHLORIDE GEL 30G (LIGNOCAD),Prescription medicine,lidocaine hydrochloride gel 30g (lignocad)
LIDOCAINE INJ 2% W/V 30ML,Prescription medicine,lidocaine inj 2% w/v 30ml
LIGABA 75MG(PREGABALIN) 30'S,Pharmacy medicine,ligaba 75mg(pregabalin) 30's
LIL CRITTERS GUMMY VITE 60'S,OTC,lil critters gummy vite 60's
LIL CRITTERS GUMMY VITES 300'S,OTC,lil critters gummy vites 300's
LIPITOR TAB 20MG UK,Other / uncategorised,lipitor tab 20mg uk
LIPITOR TAB 40MG UK,Other / uncategorised,lipitor tab 40mg uk
LIPSORE (ACICLOVIR CREAM 5%) 2GM,Other / uncategorised,lipsore (aciclovir cream 5%) 2gm
LISINOPRIL 10MG TABS TEVA,Pharmacy medicine,lisinopril 10mg tabs teva
LISINOPRIL 20MG TABS TEVA,Pharmacy medicine,lisinopril 20mg tabs teva
LISINOPRIL 5MG TABS 28'S TEVA,Pharmacy medicine,lisinopril 5mg tabs 28's teva
LISINOPRIL HCT 10/12.5MG UK,OTC,lisinopril hct 10/12.5mg uk
LISTERINE ALL TYPES 250ML,Pharmacy medicine,listerine all types 250ml
LISTERINE M/WASH 1.5L,OTC,listerine m/wash 1.5l
LISTERINE M/WASH 1L,Other / uncategorised,listerine m/wash 1l
LISTERINE M/WASH 500ML ALL TYPES,OTC,listerine m/wash 500ml all types
LISTERINE M/WASH ALL TYPES 750ML,OTC,listerine m/wash all types 750ml
LISTERINE MOUTHWASH MULTI PRO 500ML,Other / uncategorised,listerine mouthwash multi pro 500ml
LISTERINE MOUTHWASH SPEARMINT 500ML,Other / uncategorised,listerine mouthwash spearmint 500ml
LISTERINE SPEARMINT 250ML,Other / uncategorised,listerine spearmint 250ml
LIV 52 SYRUP,Herbal,liv 52 syrup
LIV 52 TABS,Herbal,liv 52 tabs
LIVERCARE TABS 60'S BLISTER H/AID,Other / uncategorised,livercare tabs 60's blister h/aid
LIVEREL TAB 60S,Prescription medicine,liverel tab 60s
LIVING BITTERS CAPS 30',Other / uncategorised,living bitters caps 30'
LIVING BITTERS MIXTURE 200ML,Herbal,living bitters mixture 200ml
LIVOLIN FORTE CAPS 30'S,OTC,livolin forte caps 30's
LIVOMYN TABS 20'S,OTC,livomyn tabs 20's
LIVOPAT CAPS 30'S,OTC,livopat caps 30's
LOFNAC 100MG TABS,OTC,lofnac 100mg tabs
LOFNAC GEL,Pharmacy medicine,lofnac gel
LOFNAC-100 (DICLO SUPPOSITORIES) 10'S,OTC,lofnac-100 (diclo suppositories) 10's
LONART ART/LUME 20MG/120MG SUSP 60ML,OTC,lonart art/lume 20mg/120mg susp 60ml
LONART DS TABS 80/480MG,OTC,lonart ds tabs 80/480mg
LONART FORTE 40MG/240MG TABS,OTC,lonart forte 40mg/240mg tabs
LONGRICH TOOTHPASTE 100G,Other / uncategorised,longrich toothpaste 100g
LONGRICH TOOTHPASTE 200G,OTC,longrich toothpaste 200g
LOPADINE EYE DROPS 5ML,OTC,lopadine eye drops 5ml
LOPERAMIDE 2MG CAPS 6'S UK,OTC,loperamide 2mg caps 6's uk
LOPERAMIDE CAPS 2MG 30S UK,Pharmacy medicine,loperamide caps 2mg 30s uk
LORATADINE SYR 100ML (5MG/5ML),Prescription medicine,loratadine syr 100ml (5mg/5ml)
LORATIDINE 10MG TAB UK,Pharmacy medicine,loratidine 10mg tab uk
LORAZEPAM 2MG TABS 500'S,Prescription medicine,lorazepam 2mg tabs 500's
LORAZEPAM 5MG TABS,OTC,lorazepam 5mg tabs
LOREAL MEN DEO SPRAY 150ML,OTC,loreal men deo spray 150ml
LOREAL MEN DEO SPRAY ALL TYPES 250ML,Cosmetics,loreal men deo spray all types 250ml
LOREAL MEN SHOWER GEL ALL TYPES 300MLS,OTC,loreal men shower gel all types 300mls
LOREAL ROLL ON ALL TYPES,OTC,loreal roll on all types
LOREAL SHOWER GEL ALL TYPES 300ML,OTC,loreal shower gel all types 300ml
LOSAR DENK TAB 100MG 28'S,Prescription medicine,losar denk tab 100mg 28's
LOSAR DENK TAB 50MG 28'S,Pharmacy medicine,losar denk tab 50mg 28's
LOSARTAN 25MG TABS 28'S UK,Prescription medicine,losartan 25mg tabs 28's uk
LOSARTAN 50MG TAB TEVA,Pharmacy medicine,losartan 50mg tab teva
LOSARTAN 50MG TABS 28'S UK,OTC,losartan 50mg tabs 28's uk
LOSARTAN HCT 100/25MG 28'S,Other / uncategorised,losartan hct 100/25mg 28's
LOSARTAN HCT 50/12.5MG UK,OTC,losartan hct 50/12.5mg uk
LOSARTAN TAB 100MG TEVA,Prescription medicine,losartan tab 100mg teva
LOST FLUID REPLACEMENT,Other / uncategorised,lost fluid replacement
LUBRIMAX 70G,Other / uncategorised,lubrimax 70g
LUBRIMAX JELLY 30G ALLTYPES,Other / uncategorised,lubrimax jelly 30g alltypes
LUBRIMAX JELLY 50G ALL TYPES,OTC,lubrimax jelly 50g all types
LUCOZADE ORIGINAL CAN 330ML,Other / uncategorised,lucozade original can 330ml
LUEX ADULT CHESTY 150ML,OTC,luex adult chesty 150ml
LUEX ADULT DRY COUGH 150ML,OTC,luex adult dry cough 150ml
LUEX BABY COUGH SYRUP 150ML,OTC,luex baby cough syrup 150ml
LUEX CHILDREN DRY COUGH SYRUP 100ML,OTC,luex children dry cough syrup 100ml
LUEX CHILDREN'S CHESTY COUGH SYRUP 150ML,OTC,luex children's chesty cough syrup 150ml
LUFART 20/120MG ORAL SUSP,Prescription medicine,lufart 20/120mg oral susp
"LUMIGAN 0,01% OOGDRUPPELS BIMATOPROST 0,3MG/ML 3ML",Pharmacy medicine,"lumigan 0,01% oogdruppels bimatoprost 0,3mg/ml 3ml"
"LUMIGAN 0,03% OOGDRUPPELS BIMATOPROST 0,3MG/ML 3ML",Prescription medicine,"lumigan 0,03% oogdruppels bimatoprost 0,3mg/ml 3ml"
LYDIA POSTPIL TABS,OTC,lydia postpil tabs
LYNUX OINT 20G,OTC,lynux oint 20g
LYNX AFRICA B/WASH 225ML,OTC,lynx africa b/wash 225ml
LYNX BODY SPRAY ALL TYPES 150ML,Cosmetics,lynx body spray all types 150ml
LYNX DEO ROLL ON ALL TYPES 50ML,Cosmetics,lynx deo roll on all types 50ml
LYNX DEO SPRAY 200ML,Cosmetics,lynx deo spray 200ml
LYNX DEO SPRAY 250ML,Other / uncategorised,lynx deo spray 250ml
LYNX ICE CHILL 225ML B/WASH,OTC,lynx ice chill 225ml b/wash
LYNX SHOWER GEL DARK TEMP 225ML,Cosmetics,lynx shower gel dark temp 225ml
LYNXACLOX CHLORHEXIDINE MOUTHWASH 0.2% 300ML VEGA,Other / uncategorised,lynxaclox chlorhexidine mouthwash 0.2% 300ml vega
M2 TONE TABS 20'S,OTC,m2 tone tabs 20's
MAALOX PLUS ORAL SUSP 250ML,OTC,maalox plus oral susp 250ml
MAALOX PLUS SUSP 355ML,OTC,maalox plus susp 355ml
MAALOX PLUS TABS 30'S,Pharmacy medicine,maalox plus tabs 30's
MAALOX SUSP SACHET 20'S,OTC,maalox susp sachet 20's
MAAME DAGOMBA HERBAL OINT,Other / uncategorised,maame dagomba herbal oint
MADOPAR 100/25MG CAP'S 100'S,Prescription medicine,madopar 100/25mg cap's 100's
MADOPAR 50/12.5MG CAPS,Other / uncategorised,madopar 50/12.5mg caps
MAGACID CHEWABLE TAB 4'S,OTC,magacid chewable tab 4's
MAGACID FASTMELT,OTC,magacid fastmelt
MAGACID ORAL SUSP 200ML,OTC,magacid oral susp 200ml
MAGACID PLUS SUSP 200ML,OTC,magacid plus susp 200ml
MAGNES ACTIVE DENK 300MG,Pharmacy medicine,magnes active denk 300mg
MAGNES DIRECT DENK 400MG,OTC,magnes direct denk 400mg
MAGNESIUM GLYCINATE 1000MG 60'S,Other / uncategorised,magnesium glycinate 1000mg 60's
MAGNESIUM GLYCINATE 500MG,Other / uncategorised,magnesium glycinate 500mg
MAJOR NASAL DROPS 18ML (EPHEDRINE ANHYDROUS 0.75%),Pharmacy medicine,major nasal drops 18ml (ephedrine anhydrous 0.75%)
MALAR 2 FORTE DS TABS 6'S,Pharmacy medicine,malar 2 forte ds tabs 6's
MALAR 2 FORTE TABS 40/240MG 12'S,Prescription medicine,malar 2 forte tabs 40/240mg 12's
MALAR 2 SUSP (180+1080MG) 60ML,Pharmacy medicine,malar 2 susp (180+1080mg) 60ml
MALARIA RAPID TEST 30'S,OTC,malaria rapid test 30's
MALARONE 250MG/100MG TABS ADT 12'S,Prescription medicine,malarone 250mg/100mg tabs adt 12's
MALARONE 62MG/25MG 12'S,Other / uncategorised,malarone 62mg/25mg 12's
MALT CAN (GUINESS) 330ML,"Food, drinks & essentials",malt can (guiness) 330ml
MAN UP ADVANCED FORMULA,Prescription medicine,man up advanced formula
MANOLL SYR 200ML,Other / uncategorised,manoll syr 200ml
MARK 2 INHALER,Pharmacy medicine,mark 2 inhaler
MARTINELLIS APPLE JUICE 296ML,"Food, drinks & essentials",martinellis apple juice 296ml
MARTINS LIVER SALT ALL TYPES,OTC,martins liver salt all types
MATES CONDOMS,Other / uncategorised,mates condoms
MAXIDEX EYE DROPS,OTC,maxidex eye drops
MAXIDEX EYE OINT,Prescription medicine,maxidex eye oint
MAXISPORIN EYE DROP 5ML,Pharmacy medicine,maxisporin eye drop 5ml
MAXITROL EYE DROP,OTC,maxitrol eye drop
MAXITROL EYE OINT 3.5G,OTC,maxitrol eye oint 3.5g
MEDIPURE MEDICATED BODY POWDER 200G,OTC,medipure medicated body powder 200g
MEDIPURE SHAMPOO HAIR & SCALP ANTI DANDRUFF 400ML,Other / uncategorised,medipure shampoo hair & scalp anti dandruff 400ml
MEDISOFT REPELLENT 100ML,Other / uncategorised,medisoft repellent 100ml
MEDISURE STEAM INHALER MANUAL,OTC,medisure steam inhaler manual
MEDISURE TONGUE CLEANER,Cosmetics,medisure tongue cleaner
MEDROL METHYLPREDNISOLONE 4MG TABS 30'S,Prescription medicine,medrol methylprednisolone 4mg tabs 30's
MEFENAMIC ACID ( PONSTAN) 250MG CAPS 50'S,Pharmacy medicine,mefenamic acid ( ponstan) 250mg caps 50's
MELATONIN GUMMIES 10G,Other / uncategorised,melatonin gummies 10g
MENOPACE MAX TABS,Pharmacy medicine,menopace max tabs
MENOPACE ORIGINAL VITABIOTICS,OTC,menopace original vitabiotics
MENOPACE PLUS 56'S TABS,Pharmacy medicine,menopace plus 56's tabs
MENTAT SYRUP 100MLS,Herbal,mentat syrup 100mls
MENTAT TABS 100'S,Herbal,mentat tabs 100's
MENTHODEX 100ML SYR,OTC,menthodex 100ml syr
MENTHODEX 200ML SYR,OTC,menthodex 200ml syr
MENTHODEX LOZ 80G SACHET 25'S (H&L),OTC,menthodex loz 80g sachet 25's (h&l)
MENTHOL CRYSTAL,Pharmacy medicine,menthol crystal
MENTOS GUM,"Food, drinks & essentials",mentos gum
MERCY OINTMENT,OTC,mercy ointment
MERCY SOAP,OTC,mercy soap
METAGYL 200MG/5MG SUSP 100ML,Other / uncategorised,metagyl 200mg/5mg susp 100ml
METAGYL METRONIDAZOLE 200MG TABS 500'S,OTC,metagyl metronidazole 200mg tabs 500's
METAGYL METRONIDAZOLE 400MG 280'S ECL,Other / uncategorised,metagyl metronidazole 400mg 280's ecl
METAGYL SUSP ( METRONIDAZOLE SUSP 200MG/5ML,Prescription medicine,metagyl susp ( metronidazole susp 200mg/5ml
METATONE TONIC 300ML,OTC,metatone tonic 300ml
METFORMIN 500MG TAB 84'S UK,Prescription medicine,metformin 500mg tab 84's uk
METFORMIN 500MG TABS 28'S UK,OTC,metformin 500mg tabs 28's uk
METFORMIN 850MG TAB 56'S,OTC,metformin 850mg tab 56's
METFORMIN DENK 1000MG TABS 30'S,Pharmacy medicine,metformin denk 1000mg tabs 30's
METFORMIN DENK 500MG 100'S TABS,Pharmacy medicine,metformin denk 500mg 100's tabs
METFORMIN DENK 850MG TABS,Pharmacy medicine,metformin denk 850mg tabs
METHOTREXATE (CYTOTHREXATE 10MG) 10'S,Prescription medicine,methotrexate (cytothrexate 10mg) 10's
METHOTREXATE TAB 2.5MG,Prescription medicine,methotrexate tab 2.5mg
METHRONIDAZOLE 400MG 21'S (VEGA),Other / uncategorised,methronidazole 400mg 21's (vega)
METHYLATED SPIRIT 100ML ECL,OTC,methylated spirit 100ml ecl
METHYLATED SPIRIT 125ML ECL,OTC,methylated spirit 125ml ecl
METHYLATED SPIRIT 200ML ECL,Other / uncategorised,methylated spirit 200ml ecl
METHYLDOPA 250MG 60'S,Prescription medicine,methyldopa 250mg 60's
METOCLOPRAMIDE 10MG TAB 28'S CRESCENT,Other / uncategorised,metoclopramide 10mg tab 28's crescent
METOCLOPRAMIDE 10MG UK,Prescription medicine,metoclopramide 10mg uk
METOCLOPRAMIDE INJ 10MG/2ML,Prescription medicine,metoclopramide inj 10mg/2ml
METOPROLOL 50MG TAB MILPHARM,Other / uncategorised,metoprolol 50mg tab milpharm
METRAN (MECOBALAMIN)500MCG CAPS 100'S,Prescription medicine,metran (mecobalamin)500mcg caps 100's
METRO-Z SUSP 100MLS (METRO = FURAZOLIDINE),Prescription medicine,metro-z susp 100mls (metro = furazolidine)
METROLEX-F SUSP 100ML,Pharmacy medicine,metrolex-f susp 100ml
METROLEX-F TABS 21'S,Pharmacy medicine,metrolex-f tabs 21's
METRONIDAZOLE 2% GEL,OTC,metronidazole 2% gel
METRONIDAZOLE INJECTION 100ML,Prescription medicine,metronidazole injection 100ml
METRONIDAZOLE TAB 400MG UK,Prescription medicine,metronidazole tab 400mg uk
MICARDIS (TELMISARTAN) 40MG TAB 28'S,Prescription medicine,micardis (telmisartan) 40mg tab 28's
MICARDIS (TELMISARTAN) 80MG TAB 28'S,Prescription medicine,micardis (telmisartan) 80mg tab 28's
MICONAZOLE & CLOBETASOL (MYCOCORT) CREAM 20G,OTC,miconazole & clobetasol (mycocort) cream 20g
MICROGYNON 21 TABS,Other / uncategorised,microgynon 21 tabs
MICROGYNON FE 28 TABS,OTC,microgynon fe 28 tabs
MIGRA COOL PATCHES 4',OTC,migra cool patches 4'
MILKYWAY 6 PACK CHOCOLATE 129GM,"Food, drinks & essentials",milkyway 6 pack chocolate 129gm
MILTON STERILISING TABS 28',OTC,milton sterilising tabs 28'
"MIMORAL TRYPSINE-CHYMOTRYPSINE TABS 50,000IU",Prescription medicine,"mimoral trypsine-chymotrypsine tabs 50,000iu"
MINADEX MULTIVITAMIN SYP 150ML,OTC,minadex multivitamin syp 150ml
MINADEX MULTIVITAMIN SYP 200ML,Other / uncategorised,minadex multivitamin syp 200ml
MINAMINO LIQUID 200ML,OTC,minamino liquid 200ml
MINERAL WATER ALL TYPES,"Food, drinks & essentials",mineral water all types
MINIONS BATH & SHOWER BUBBLES 400ML,Other / uncategorised,minions bath & shower bubbles 400ml
MISOPROSTOL ( CYTOTEC) 200MCG TAB 60'S,OTC,misoprostol ( cytotec) 200mcg tab 60's
MIST EXPECT-SED 150ML,Pharmacy medicine,mist expect-sed 150ml
MIST MAGNESSIUM TRISILICATE,OTC,mist magnessium trisilicate
MIST SENNACCO,Pharmacy medicine,mist sennacco
MIXTARD 30 100IU/ML INJ,Prescription medicine,mixtard 30 100iu/ml inj
MIXTARD FLEX PEN INSULIN 100IU/ML 5'S,Pharmacy medicine,mixtard flex pen insulin 100iu/ml 5's
MM ALLERGY RELIEF 200'S,OTC,mm allergy relief 200's
MOMETASONE FUROATE (NASONEX) SPRAY 140 DOSES,Pharmacy medicine,mometasone furoate (nasonex) spray 140 doses
MORPHINE INJ 10MG/ML,Prescription medicine,morphine inj 10mg/ml
MORPHINE ORAL SOLN SYRUP 100ML,Restricted medicine,morphine oral soln syrup 100ml
MORPHINE SYR 500ML,Restricted medicine,morphine syr 500ml
MOSEGOR PIZOTIFEN SYR 100ML,Pharmacy medicine,mosegor pizotifen syr 100ml
MOSEGOR PIZOTIFEN TAB 0.5MG,Pharmacy medicine,mosegor pizotifen tab 0.5mg
MOTILIUM (DOMPERIDONE) TABS 10MG 30'S,OTC,motilium (domperidone) tabs 10mg 30's
MOTILIUM 10MG TABS 60'S,Other / uncategorised,motilium 10mg tabs 60's
MOTILIUM SYRUP,Prescription medicine,motilium syrup
MOTRIN 200MG TAB 50'S,OTC,motrin 200mg tab 50's
MOTRIN SYRUP 120ML,OTC,motrin syrup 120ml
MR. Q,OTC,mr. q
MUCOLEX EXP ADULT 150ML,OTC,mucolex exp adult 150ml
MUCOLEX JNR. EXPECTORANT 150ML,Pharmacy medicine,mucolex jnr. expectorant 150ml
MUCOTIN 5% COUGH,Other / uncategorised,mucotin 5% cough
MULTIVITAMINS TABS 500'S BLISTER,OTC,multivitamins tabs 500's blister
MUPIROCIN OINTMENT 2% 15G VEGA,OTC,mupirocin ointment 2% 15g vega
MYCOLEX 3 CREAM 30GM,Pharmacy medicine,mycolex 3 cream 30gm
MYCOLEX CREAM 20GM,Other / uncategorised,mycolex cream 20gm
MYCOLEX POWDER 50G,Pharmacy medicine,mycolex powder 50g
MYCOPHENOLATE TAB 500MG UK 50'S,Prescription medicine,mycophenolate tab 500mg uk 50's
MYCOTA CREAM 25G,OTC,mycota cream 25g
MYCOTA POWDER 70G,Pharmacy medicine,mycota powder 70g
MYCOVIN 125,Other / uncategorised,mycovin 125
MYCOVIN TABS 500MG 250'S ECL,Pharmacy medicine,mycovin tabs 500mg 250's ecl
NAKLOFEN DUO CAPS 75MG 20'S,Pharmacy medicine,naklofen duo caps 75mg 20's
NANA AGYEI,OTC,nana agyei
NAPHCON A DROPS 15ML,OTC,naphcon a drops 15ml
NAPROSYN EC 500MG TABS 100'S,Prescription medicine,naprosyn ec 500mg tabs 100's
NASOALDO NASAL SPRAY,OTC,nasoaldo nasal spray
NASOFED SALINE NASAL SPRAY RELIEF,OTC,nasofed saline nasal spray relief
NAT B MULTIVITAMIN CAPS 30'S,OTC,nat b multivitamin caps 30's
NAT-C 1000 TABS 30'S MEGA,Pharmacy medicine,nat-c 1000 tabs 30's mega
NATRILIX 2.5MG,Pharmacy medicine,natrilix 2.5mg
NATRILIX SR INDAPAMIDE 1.5MG TABS 30'S,Prescription medicine,natrilix sr indapamide 1.5mg tabs 30's
NATRIXAM 1.5/5MG TAB,Prescription medicine,natrixam 1.5/5mg tab
NATRIXAM 1.5MG/10MG 30'S,Prescription medicine,natrixam 1.5mg/10mg 30's
NATURE MADE FISH OIL 1200MG 100'S,Pharmacy medicine,nature made fish oil 1200mg 100's
NATURE MADE FISH OIL 1200MG 400'S,OTC,nature made fish oil 1200mg 400's
NATURE MADE FOLIC ACID +DHA ( PRENATAL),Other / uncategorised,nature made folic acid +dha ( prenatal)
NATURE MADE MAGNESIUM EXTRA STRENGTH 400MG,OTC,nature made magnesium extra strength 400mg
NATURE MADE TRIPLE OMEGA 3-6-9 180',OTC,nature made triple omega 3-6-9 180'
NATURE MADE VIT B12 1000MCG 400',OTC,nature made vit b12 1000mcg 400'
NATURE TRUTH APPLE CIDER VINEGAR GUMMIES 120'S,OTC,nature truth apple cider vinegar gummies 120's
