product_name,category_shelf,match_key
AMITRIPTYLINE 50MG TAB 28',Prescription medicine,amitriptyline 50mg tab 28'
AMITRIPTYLINE SOLUTION 50MG/5ML 150ML,Prescription medicine,amitriptyline solution 50mg/5ml 150ml
AMLO DENK 10MG,Prescription medicine,amlo denk 10mg
AMLO DENK 5MG,Prescription medicine,amlo denk 5mg
AMLODIPINE 2.5MG 28'S TABS,Other / uncategorised,amlodipine 2.5mg 28's tabs
AMLODIPINE 5MG TABS SANDOZ,OTC,amlodipine 5mg tabs sandoz
AMLODIPINE 5MG VEGA 28'S,Prescription medicine,amlodipine 5mg vega 28's
AMLODIPINE TABS 10MG 28'S TEVA,Pharmacy medicine,amlodipine tabs 10mg 28's teva
AMLODIPINE TABS 5MG 28'S TEVA,Pharmacy medicine,amlodipine tabs 5mg 28's teva
AMLODIPINE(TENOX) 5MG TABS 30'S,Prescription medicine,amlodipine(tenox) 5mg tabs 30's
AMMOVULIN CO-AMOXICLAV 1.2G INJ (TOBINCO),Prescription medicine,ammovulin co-amoxiclav 1.2g inj (tobinco)
AMOKSICLAV SUSP 228/5ML 70ML,Prescription medicine,amoksiclav susp 228/5ml 70ml
AMOKSICLAV SUSP 457MG/5ML 70ML LEK,OTC,amoksiclav susp 457mg/5ml 70ml lek
AMOKSIKLAV TAB 1G 10'S,Prescription medicine,amoksiklav tab 1g 10's
AMOKSIKLAV TAB 625MG LEK 14'S,Prescription medicine,amoksiklav tab 625mg lek 14's
AMOVULIN 1.2 INJ,Other / uncategorised,amovulin 1.2 inj
AMOXICILLIN 1000MG + POTASSIUM CLAVULANATE 200MG CO-AMOXCICLAV INJ 20ML 10'S VEGA UK,Pharmacy medicine,amoxicillin 1000mg + potassium clavulanate 200mg co-amoxciclav inj 20ml 10's vega uk
AMOXICILLIN 500MG CAPS UK,Prescription medicine,amoxicillin 500mg caps uk
AMOXICILLIN CAPS 500MG VEGA 21',Prescription medicine,amoxicillin caps 500mg vega 21'
AMOXICILLIN SUSP 100ML CRESCENT,Other / uncategorised,amoxicillin susp 100ml crescent
AMOXICILLIN SUSP 125/5ML VEGA,Pharmacy medicine,amoxicillin susp 125/5ml vega
AMOXICILLIN SUSP 250/5ML UK,OTC,amoxicillin susp 250/5ml uk
AMOXICILLIN SUSP EXETER 100ML,Other / uncategorised,amoxicillin susp exeter 100ml
AMOXICILLIN SUSP SUGAR FREE 100ML MEDREICH,OTC,amoxicillin susp sugar free 100ml medreich
AMOXICILLIN SUSP. 250MG/5ML 100ML VEGA,Other / uncategorised,amoxicillin susp. 250mg/5ml 100ml vega
AMOXICLAV IV 600MG TROGE,Prescription medicine,amoxiclav iv 600mg troge
ANADIN EXTRA TABS 8'S,Pharmacy medicine,anadin extra tabs 8's
ANAFRANIL 25MG CHLOMIPRAMINE HCL TAB 30'S,Pharmacy medicine,anafranil 25mg chlomipramine hcl tab 30's
ANASTRAZOLE DENK 1MG 28',Prescription medicine,anastrazole denk 1mg 28'
ANDREWS LIVERSALT ORIGINAL 50',Pharmacy medicine,andrews liversalt original 50'
ANGEL CREAM 40G,OTC,angel cream 40g
ANGINOVAG SPRAY 10ML,OTC,anginovag spray 10ml
ANKLE SUPPORT,Pharmacy medicine,ankle support
ANOVIA BOBY MIST 210ML,Other / uncategorised,anovia boby mist 210ml
ANOVIA MAGNESIUM MUSCLE & JOINT SPRAY,Pharmacy medicine,anovia magnesium muscle & joint spray
ANOVIA MAGNESIUM OIL RELAXATION,Other / uncategorised,anovia magnesium oil relaxation
ANOVIA MAGNESIUM SLEEP SPRAY,Other / uncategorised,anovia magnesium sleep spray
ANOVIA MICELLAR CLEANSING WATER,OTC,anovia micellar cleansing water
ANTACID CALCIUM CARBONATE 500MG TAB 55',OTC,antacid calcium carbonate 500mg tab 55'
ANTACID MIXTURE 200ML (ECL),Pharmacy medicine,antacid mixture 200ml (ecl)
ANTI SNAKE VENOM,Prescription medicine,anti snake venom
ANTI-D (RHO) IMMUNOGLOBULIN MONOCLONAL,Prescription medicine,anti-d (rho) immunoglobulin monoclonal
ANTI-RABIES VACCINE HUMAN I.P,Prescription medicine,anti-rabies vaccine human i.p
ANUSOL CREAM 25G,Other / uncategorised,anusol cream 25g
ANUSOL OINT 25G,OTC,anusol oint 25g
ANUSOL PLUS HC OINTMENT 15G,Other / uncategorised,anusol plus hc ointment 15g
ANUSOL SUPP 12'S,OTC,anusol supp 12's
APETAMIN SYR 200ML,OTC,apetamin syr 200ml
APFLU SYRUP,OTC,apflu syrup
APHROMAX PLUS 30',OTC,aphromax plus 30'
APPLE & EVE FRUIT PUNCH 200ML,"Food, drinks & essentials",apple & eve fruit punch 200ml
APPLE & EVE JUICE BOTTLE 296ML,"Food, drinks & essentials",apple & eve juice bottle 296ml
APPLE CIDER CAPLET 30'S,Other / uncategorised,apple cider caplet 30's
APROVASC 150/10MG,Prescription medicine,aprovasc 150/10mg
APROVEL 150MG TABS 28'S,Prescription medicine,aprovel 150mg tabs 28's
APROVEL 300MG TAB,Prescription medicine,aprovel 300mg tab
APTAMIL STAGE 1 800G,"Food, drinks & essentials",aptamil stage 1 800g
APTAMIL STAGE 2 800G,"Food, drinks & essentials",aptamil stage 2 800g
APTAMIL STAGE 3 800G,"Food, drinks & essentials",aptamil stage 3 800g
APTAMIL STAGE 4 800G,Other / uncategorised,aptamil stage 4 800g
APTIZOOM SYR 200ML,OTC,aptizoom syr 200ml
AQUAFRESH MILK TEETH T/P (0-2YRS),Baby & infant,aquafresh milk teeth t/p (0-2yrs)
AQUAFRESH T/P TRIPLE PROTECTION 100ML,Other / uncategorised,aquafresh t/p triple protection 100ml
AQUAFRESH T/PASTE ACTIVE WHITE 100ML,OTC,aquafresh t/paste active white 100ml
AQUAFRESH TOOTHPASTE BIG TEETH 6-8YRS,Other / uncategorised,aquafresh toothpaste big teeth 6-8yrs
AQUAFRESH TOOTHPASTE L/TEETH 3-5YRS 50ML,Cosmetics,aquafresh toothpaste l/teeth 3-5yrs 50ml
AQUAFRESH TOOTHPASTE SPLASH 3-8YRS,Other / uncategorised,aquafresh toothpaste splash 3-8yrs
AQUEOUS CALAMINE CREAM 100G,OTC,aqueous calamine cream 100g
ARIMIDEX 1MG TAB 28'S,Prescription medicine,arimidex 1mg tab 28's
ARIPIPRAZOLE 5MG TABS,Pharmacy medicine,aripiprazole 5mg tabs
